x y
Blue Cone Positions
1.60182700e+01 1.45124000e+01
1.43211900e+01 1.44995200e+01
1.26281100e+01 1.44762800e+01
1.09311600e+01 1.44471200e+01
9.19162200e+00 1.44432300e+01
7.44137200e+00 1.45153000e+01
5.82157400e+00 1.45253400e+01
4.08037800e+00 1.45238700e+01
2.19287300e+00 1.46747500e+01
1.32698800e-01 1.52895500e+01
-1.74357700e+00 1.70281400e+01
-2.43345900e+00 1.91091000e+01
-2.65709800e+00 2.09059700e+01
-2.84453900e+00 2.24995600e+01
-3.18497600e+00 2.36858700e+01
-3.88005700e+00 2.44240200e+01
-5.03158000e+00 2.50819800e+01
-6.17736300e+00 2.53847400e+01
-7.31119900e+00 2.52021700e+01
-8.50477300e+00 2.46547600e+01
-9.30379900e+00 2.39398400e+01
-9.78977800e+00 2.28308400e+01
-1.00469100e+01 2.14080600e+01
-1.01401500e+01 1.98327700e+01
-1.01548200e+01 1.81588200e+01
-1.01794100e+01 1.64107800e+01
-1.02993200e+01 1.46757500e+01
-1.03855100e+01 1.30136100e+01
-1.04397000e+01 1.13278500e+01
-1.04860600e+01 9.63554300e+00
-1.05324100e+01 7.94322300e+00
-1.05660400e+01 6.24654300e+00
-1.05924100e+01 4.54739100e+00
-1.06187800e+01 2.84822300e+00
-1.06479400e+01 1.14442100e+00
-1.07155400e+01 -6.10513000e-01
-1.08319900e+01 -2.31012700e+00
-1.09202400e+01 -3.95490100e+00
-1.08936000e+01 -5.51582800e+00
-1.07898100e+01 -7.17281300e+00
-1.05626000e+01 -8.59260700e+00
-1.00682400e+01 -9.60414600e+00
-9.11831200e+00 -1.06141600e+01
-7.95529300e+00 -1.14819500e+01
-6.73944100e+00 -1.20786600e+01
-5.36150300e+00 -1.23904900e+01
-3.81953900e+00 -1.25184100e+01
-2.19268400e+00 -1.25336700e+01
-4.95978700e-01 -1.25021900e+01
1.25525400e+00 -1.24936300e+01
2.93680600e+00 -1.25282600e+01
4.62575100e+00 -1.25255000e+01
6.32351700e+00 -1.25148400e+01
8.02128200e+00 -1.25041700e+01
8.79689000e+00 -1.25000000e+01
1.04988500e+01 -1.25003000e+01
1.22008100e+01 -1.25006000e+01
1.39027700e+01 -1.25009100e+01
1.56047400e+01 -1.25012100e+01
1.73049200e+01 -1.25151300e+01
1.83049200e+01 -1.25151300e+01
Orange Cone Positions
2.03000000e+01 -1.25331900e+01
1.94500000e+01 -1.25331900e+01
2.03000000e+01 -1.55200000e+01
1.94500000e+01 -1.55200000e+01
